Date,Category,Amount,Payment_Method,Description
2024-01-02,Food,450,UPI,Zomato order
2024-01-03,Transport,120,Cash,Auto rickshaw
2024-01-05,Shopping,1200,Credit Card,Clothes
2024-01-07,Food,85,UPI,Tea & Snacks
2024-01-09,Entertainment,499,UPI,Netflix subscription
2024-01-10,Food,650,UPI,Restaurant dinner
2024-01-11,Transport,200,UPI,Ola cab
2024-01-12,Health,800,Cash,Medicine
2024-01-14,Food,320,UPI,Swiggy order
2024-01-15,Utilities,1500,Net Banking,Electricity bill
2024-01-17,Shopping,2500,Credit Card,Electronics
2024-01-18,Food,150,Cash,Grocery
2024-01-20,Transport,350,UPI,Uber
2024-01-22,Entertainment,299,UPI,Spotify
2024-01-23,Food,480,UPI,Lunch with friends
2024-01-25,Health,1200,Cash,Doctor consultation
2024-01-27,Shopping,800,Credit Card,Books
2024-01-28,Food,220,UPI,Breakfast
2024-01-30,Transport,180,Cash,Bus pass
2024-01-31,Utilities,800,Net Banking,Internet bill
2024-02-01,Food,550,UPI,Zomato order
2024-02-03,Transport,150,Cash,Auto rickshaw
2024-02-05,Shopping,3200,Credit Card,Shoes & bag
2024-02-06,Food,95,UPI,Tea & Snacks
2024-02-08,Entertainment,649,UPI,Amazon Prime
2024-02-10,Food,720,UPI,Restaurant
2024-02-11,Transport,220,UPI,Ola cab
2024-02-13,Health,500,Cash,Vitamins
2024-02-14,Food,1200,Credit Card,Valentine dinner
2024-02-15,Utilities,1500,Net Banking,Electricity bill
2024-02-17,Shopping,1800,Credit Card,Clothing
2024-02-18,Food,180,Cash,Grocery
2024-02-20,Transport,400,UPI,Uber
2024-02-22,Entertainment,199,UPI,YouTube Premium
2024-02-23,Food,520,UPI,Lunch
2024-02-25,Health,900,Cash,Gym fees
2024-02-27,Shopping,600,Credit Card,Stationery
2024-02-28,Food,250,UPI,Snacks
2024-03-01,Food,480,UPI,Swiggy
2024-03-03,Transport,130,Cash,Auto
2024-03-05,Shopping,2800,Credit Card,Festival shopping
2024-03-07,Food,90,UPI,Tea
2024-03-09,Entertainment,499,UPI,Netflix
2024-03-10,Food,680,UPI,Dinner
2024-03-12,Transport,250,UPI,Cab
2024-03-14,Health,600,Cash,Medicine
2024-03-15,Food,380,UPI,Swiggy
2024-03-17,Utilities,1500,Net Banking,Electricity
2024-03-19,Shopping,1500,Credit Card,Home decor
2024-03-20,Food,160,Cash,Grocery
2024-03-22,Transport,320,UPI,Uber
2024-03-24,Entertainment,299,UPI,Spotify
2024-03-25,Food,560,UPI,Lunch outing
2024-03-27,Health,1500,Cash,Health checkup
2024-03-28,Shopping,900,Credit Card,Books & gifts
2024-03-29,Food,230,UPI,Breakfast
2024-03-31,Utilities,800,Net Banking,Internet
2024-04-01,Food,500,UPI,Zomato
2024-04-03,Transport,140,Cash,Auto
2024-04-05,Shopping,4000,Credit Card,Summer clothes
2024-04-07,Food,110,UPI,Snacks
2024-04-09,Entertainment,649,UPI,Amazon Prime
2024-04-10,Food,750,UPI,Restaurant
2024-04-12,Transport,280,UPI,Ola
2024-04-14,Health,700,Cash,Medicine
2024-04-15,Utilities,1500,Net Banking,Electricity
2024-04-17,Food,420,UPI,Swiggy
2024-04-19,Shopping,2200,Credit Card,Footwear
2024-04-21,Food,190,Cash,Grocery
2024-04-22,Transport,370,UPI,Uber
2024-04-24,Entertainment,199,UPI,Gaming
2024-04-25,Food,610,UPI,Lunch
2024-04-27,Health,800,Cash,Gym
2024-04-28,Shopping,1100,Credit Card,Accessories
2024-04-29,Food,270,UPI,Evening snacks
2024-04-30,Utilities,800,Net Banking,Internet
2024-05-01,Food,530,UPI,Zomato
2024-05-02,Transport,160,Cash,Auto
2024-05-04,Shopping,1600,Credit Card,Books
2024-05-06,Food,100,UPI,Tea
2024-05-08,Entertainment,499,UPI,Netflix
2024-05-09,Food,800,Credit Card,Birthday dinner
2024-05-11,Transport,300,UPI,Cab
2024-05-13,Health,550,Cash,Medicine
2024-05-15,Utilities,1500,Net Banking,Electricity
2024-05-17,Food,360,UPI,Swiggy
2024-05-18,Shopping,3500,Credit Card,Gadget accessory
2024-05-20,Food,200,Cash,Grocery
2024-05-22,Transport,340,UPI,Uber
2024-05-24,Entertainment,299,UPI,Spotify
2024-05-25,Food,590,UPI,Lunch
2024-05-27,Health,1000,Cash,Doctor
2024-05-28,Shopping,700,Credit Card,Gifts
2024-05-29,Food,240,UPI,Breakfast
2024-05-31,Utilities,800,Net Banking,Internet
2024-06-01,Food,460,UPI,Swiggy
2024-06-03,Transport,170,Cash,Auto
2024-06-05,Shopping,2000,Credit Card,Monsoon clothes
2024-06-07,Food,120,UPI,Snacks
2024-06-09,Entertainment,649,UPI,Amazon Prime
2024-06-10,Food,690,UPI,Dinner
2024-06-12,Transport,260,UPI,Ola
2024-06-14,Health,650,Cash,Medicine
2024-06-15,Utilities,1500,Net Banking,Electricity
2024-06-17,Food,390,UPI,Zomato
2024-06-18,Shopping,1300,Credit Card,Home items
2024-06-20,Food,170,Cash,Grocery
2024-06-22,Transport,380,UPI,Uber
2024-06-24,Entertainment,199,UPI,YouTube
2024-06-25,Food,620,UPI,Outing
2024-06-27,Health,750,Cash,Gym
2024-06-28,Shopping,950,Credit Card,Accessories
2024-06-29,Food,280,UPI,Evening tea
2024-06-30,Utilities,800,Net Banking,Internet
